Question Topic,Question Content,Tags
"In a list, how to pick whatever is not f and it's derivatives?","Suppose I have a list like:
list1 = {{f[x], Sin[x]}, {f'[x]}, {f''[x]}};
list2 = {{f[x]}, {Cos[x], f''[x]}};




I want to pick these lists and convert them to:
list1 = {{f[x], Framed[Sin[x]]}, {f'[x]}, {f''[x]}};
list2 = {{f[x]}, {Framed[Cos[x]], f''[x]}};

Ie: Apply a listable function in these lists that return the list with a function such as Framed[x] applied in whatever functions are not f and it's derivatives.","list-manipulation, replacement"
What is an important mathematical question?,"$\DeclareMathOperator\GL{GL}$Many times I have heard people say sentences like X is an important question/ X is a natural question. I find this very surprising because to me it's all a matter of taste. I am having people ask me why study certain things and my mental response is it's fun or just out of curiosity; but often what I found is when I present my question with enough jargon then they agree my questions are worth studying.
An example is Schur positivity: for me it's an extremely rare phenomenon and every time a family of symmetric functions is Schur positive I feel it's worthy of study in its own right. But when I need to explain to people I need to talk in terms of Frobenius map, representations of $\GL_n$ and so on. But I never understood myself why representations of symmetric group or $\GL_n$ is more important than symmetric functions.
So I really want to know how to decide whether a question is worth studying? How do I decide what question is important to ask in mathematics?
I am sorry if this is not the right place to ask this. I will remove it if it violates MO policy somehow.","ho.history-overview, big-picture, soft-question"
"""Guarantee"" Nature publication for PhD?","I am currently applying as a PhD student in a group at the intersection of experimental physics and engineering in a rather interdisciplinary research environment in Germany. The group only exists for about 2 years now. The group leader told me that he would expect every PhD student to be author of at least one Nature spin-off paper at the end of their PhD (Nature Physics, Nature Electronics, Nature Photonics, ...) and not ""only"" journals like Physics Review Letters (in my eyes publishing in the PRL family is already quite the accomplishment?). He said they would choose their research topics in such a way that these expectations would be realistic.
Are such expectations realistic? Can one ""force"" publications in such high-impact journals just by deliberately choosing the right topics? I have no experience with publishing my research in journals and thus do not really know what to think about this.","publishers, phd, publishability, application, publications"
Summing the Digits of a Number,"Challenge

Given a non-negative integer, find the sum of its digits.

Rules

Your program must take a non-negative integer as input.
Your program should output the sum of the digits of the input integer.
Your program should be able to handle inputs up to 10^100.

Examples

If the input is 123, the output should be 6 (1 + 2 + 3).
If the input is 888, the output should be 24 (8 + 8 + 8).
If the input is 1024, the output should be 7 (1 + 0 + 2 + 4).
If the input is 3141592653589793238462643383279502884197169399375105820974944592, the output should be 315.

Format

Your program should take input from standard input (stdin) and output the result to standard output (stdout).
Your program should be runnable in a Unix-like environment.

Test cases
Input:
123

Output:
6

Input:
888

Output:
24

Input:
1024

Output:
7

Input:
3141592653589793238462643383279502884197169399375105820974944592

Output:
315

Scoring

This is a code-golf challenge, so the shortest code (in bytes) wins.","code-golf, number, arithmetic"
At what technological level can a mixed-gender military not be at a disadvantage to an all-male one?,"In various fantasy settings, female combatants are quite common. There is a history of women in the military in real life but such women were generally rare and often hid their identity. Warfare was generally seen as the domain of men in many different cultures.
In an alternate world, a new culture arises in the Middle East. This culture is very big on gender equality. Men and women equally share every job and position in society. This includes the military. This culture often gets into land and naval battles with its more patriarchal neighbors. Said neighbors only have men serving in the military.
My fictional culture has actually no sexism but they are still composed of humans. Women are still generally smaller and weaker than men. For that and other reasons, my egalitarian nation(s) could potentially be at a disadvantage in warfare. As technology progresses however, warfare is less and less dependent on the physical capabilities of the average foot soldier. For this reason and others, there are far more women serving in the military in modern times than there were in the past (but it is still far from 50% even in 2023).
With all else being equal (population, weapons, competence, etc.) At what technological level will the mixed-gender military not be at a disadvantage compared to the single-gender military? Could having a large number of ancient female warriors actually be a viable decision? Or is that only strategically wise in a post-industrial or even post-modern military setting?","technology, female, warfare, future, alternate-history"
Breaking spokes,"My boyfriend (Joe) bought a Trek Verve 3+ on December 12, 2022 to use as his work bike. He is the bike patrol at a planned community consisting of approximately 17,000 acres. He works 5 days/40 hours and rides 52-55 miles a day on the bike. In less than 3 months he has popped several spokes, upgraded to a stronger tire, and now 4 broken spokes in 4 weeks. Yes, the shop fixes at no charge however, he cannot always get it back the same day which results in loss time at work. At first the bike shop was telling him that he was incorrectly riding the bike although he has been riding a long time without any broken spokes.
He reached out to Trek corporate who graciously is sending a replacement rim. At this point, he has had the bike for less than 3 months and is not happy. Could it be the bike vs being the rim? Anyone else experience this or have any suggestions/feedback?",spokes
What led to the fall of shell accounts?,"In the early days of the internet, shell accounts were commonly used for Internet access. After the early 2000's, it seems like shell accounts all but disappeared, and after searching, I can't really find why.
Were they not user friendly enough? Did competing services (i.e. AOL) become cheaper and mainstream?",internet
"""Candy Crush"" a string","Given a non-empty string (or an integer, or a list/array if you prefer) composed exclusively of digits in the range [1-9], your task is to write a function (or a whole program) that applies a ""Match-3 type of rule"" from left to right and outputs the resulting string, like this :
[parameter] ""12223"" -> [returned value] ""13""

Meaning, while parsing the string from left to right if you encounter the same digit repeated 3 or more times successively, this whole group of digits must ""disappear"", resulting in the concatenation of the left and right part of the remaining string.
Each time you deal with a group, you must start again from the left end and reiterate the same process until the string no longer changes (normally when you finally reach the right end).
If the string becomes empty at the end of the process, you should output an empty string, or the digit 0, or an empty list/array as you prefer.

Test cases :
""1"" -> ""1""
""31122213"" -> ""33""
""44555554446"" -> ""6""
""1322232223222311"" -> ""1311""
""111"" -> """"
""7789998877"" -> """"

This is code-golf, so the shortest solution in bytes wins.",code-golf
Is money we make completely taken away by taxes?,"In my opinion, any money we make will be completely taken away by taxes. Here is my logic.
When I earn some money (x), I have to give some as tax to the government. For example, let it be 10% of my income. After taxes, I have х - х * 10% = 0.9x of the money I earned. I will spend this money on my needs, and it will become someone's profit. Therefore, this person will also pay 10% to the government.
In this way, the initial amount will remain 0,9х - 0,9х*10%=0,81x.
Here is my calculation table:

As we can see, after 30 steps, only 4% of the initial amount will remain from this money. And this happens with any salary.
In the next tax period, I will earn new money and the whole cycle will repeat itself.
My friends told me that I am wrong, and taxes don't take 100% of our money because after taxes we still have 90% of the money we earn.
In my opinion, such a view is wrong, because it reflects only 1 present moment, not taking time into account. The money that remains in the hands of a specific person is just a temporary advance.
I also want to pay attention to the fact that our salary was also someone's income, therefore, compared to the employer, we are several steps down when it comes to money movement. In any case, the government with the help of taxes will take all 100% (close to 99.99% to be very precise) of our money, just not immediately, but a few steps later. So tax rate shows the speed with which the money will be withdrawn. For example, when tax rate is 30%, then money completely disappears in 10 moves.
Mathematically, everything seems to be true, but is everything like that in reality?
People told me that I am wrong, but don't explain why, so where am I making a mistake?","monetary-policy, money, taxation, gdp, macroeconomics"
Why does the FET input stage of op-amps still have an input current limit?,"AFAIK, Igs of MOSFET/JFET is around 0.
That means that in MOSFET/JFET almost no current flows from gate to drain.
Modern FET input stage:

I read some op-amp datasheets, those op-amps have FET inputs, but they still have a max. value for the input current.
For example, the OPA2810:

OPA355:

Theoretically, the FET input stage of op-amps has a current input of about 0, so why does the FET input stage of op-amps still have an input current limit?","mosfet, jfet, operational-amplifier"
